Year,Temporal shifts,Datum shifts,Time-shifted data %,Positive error %,Initial NaN %,Final NaN %,Increased NaN %
1996,"[0, 'N/A']","[0.0, 'N/A']",0.0,0.2277,1.4549,1.6792,0.2243
1997,"[0, 'N/A']","[0.0, 'N/A']",0.0,0.2706,0.5925,0.7763,0.1838
1998,"[0, 'N/A']","[0.0, 'N/A']",0.0,0.5263,0.395,0.871,0.476
1999,"[0, 'N/A']","[0.0, 'N/A', -0.008]",0.0,0.3425,0.1507,0.4658,0.3151
2000,"[0, 'N/A']","[-0.008, 0.0, 'N/A']",0.0,0.0877,0.1252,0.1844,0.0592
2001,"[0, 'N/A']","[0.0, 'N/A', -0.003]",0.0,1.6336,0.0628,1.6404,1.5776
2002,"[0, 'N/A']","[-0.003, 0.0, 'N/A']",0.0,0.9932,1.0103,1.9692,0.9589
2003,"[0, 'N/A']","[0.0, 'N/A']",0.0,0.145,0.4384,0.5674,0.129
2004,"[0, 'N/A']","[0.0, 'N/A']",0.0,0.0763,0.6922,0.7468,0.0546
2005,"[0, 'N/A']","[0.0, 'N/A']",0.0,0.2854,0.032,0.2888,0.2568
2006,"[0, 'N/A']","[0.0, 'N/A']",0.0,2.1884,0.6107,2.2968,1.6861
2007,"[0, 'N/A', -1]","[0.0, 'N/A', 0.013]",39.6957,1.5639,0.1256,1.6849,1.5594
2008,"[-1, 'N/A', 0]","[0.0, 'N/A']",96.8032,0.9153,1.0861,2.0014,0.9153
2009,"['N/A', -1, 0]","['N/A', 0.0]",97.1324,2.4909,0.0434,2.5171,2.4737
2010,"[-1, 'N/A']","[0.0, 'N/A']",97.8573,2.1427,0.1005,2.226,2.1256
2011,"[-1, 'N/A', 0]","[0.0, 'N/A', 0.002]",97.1769,2.7683,0.4075,2.8893,2.4817
2012,"[-1, 'N/A', 0]","[0.0, 'N/A', -0.002]",98.3971,1.3935,0.1195,1.464,1.3445
2013,"[-1, 'N/A', 0]","[0.0, 'N/A', 0.001]",98.2249,1.1815,0.3402,1.3185,0.9783
2014,"[-1, 'N/A', 0]","[0.0, 'N/A']",98.3173,1.387,0.6221,1.605,0.9829
2015,"[-1, 'N/A']","[0.0, 'N/A', 0.006, 0.001]",99.5023,0.4977,6.7591,7.161,0.4018
2016,"[-1, 'N/A']","[0.0, 'N/A']",99.8065,0.1935,2.0093,2.204,0.1947
2017,"[-1, 'N/A']","[0.0, 'N/A']",99.9201,0.0799,35.0011,35.0822,0.0811
2019,['N/A'],['N/A'],0.0,100.0,100.0,100.0,0.0
2020,['N/A'],['N/A'],0.0,100.0,100.0,100.0,0.0
2021,['N/A'],['N/A'],0.0,100.0,100.0,100.0,0.0
2022,"['N/A', -1]","['N/A', -0.015]",0.0183,99.9817,75.1427,99.9817,24.839
2023,['N/A'],['N/A'],0.0,100.0,100.0,100.0,0.0
